Country,transportation_type,date,mobility,Country_code
Italy,transit,2021-04-11,59.38,IT
Italy,walking,2021-04-11,39.53,IT
Italy,driving,2021-04-12,74.25,IT
Italy,transit,2021-04-12,63.35,IT
Italy,walking,2021-04-12,50.99,IT
Italy,driving,2021-04-13,78.28,IT
Italy,transit,2021-04-13,65.79,IT
Italy,walking,2021-04-13,56.87,IT
Italy,driving,2021-04-14,79.4,IT
Italy,transit,2021-04-14,66.01,IT
Italy,walking,2021-04-14,59.9,IT
Italy,driving,2021-04-15,79.54,IT
Italy,transit,2021-04-15,68.13,IT
Italy,walking,2021-04-15,58.12,IT
Italy,driving,2021-04-16,81.05,IT
Italy,transit,2021-04-16,67.41,IT
Italy,walking,2021-04-16,61.72,IT
Italy,driving,2021-04-17,73.81,IT
Italy,transit,2021-04-17,68.31,IT
Italy,walking,2021-04-17,68.65,IT
Italy,driving,2021-04-18,65.62,IT
Italy,transit,2021-04-18,66.72,IT
Italy,walking,2021-04-18,48.82,IT
Italy,driving,2021-04-19,79.93,IT
Italy,transit,2021-04-19,73.26,IT
Italy,walking,2021-04-19,58.79,IT
Italy,driving,2021-04-20,81.94,IT
Italy,transit,2021-04-20,74.19,IT
Italy,walking,2021-04-20,63.03,IT
Italy,driving,2021-04-21,82.79,IT
Italy,transit,2021-04-21,72.34,IT
