country,transportation_type,date,mobility
England,transit,2020-03-08,97.78
NorthernIreland,driving,2020-03-08,90.31
NorthernIreland,walking,2020-03-08,98.45
NorthernIreland,transit,2020-03-08,83.85
Scotland,driving,2020-03-08,103.38
Scotland,walking,2020-03-08,123.35
Scotland,transit,2020-03-08,103.58
Wales,driving,2020-03-08,99
Wales,walking,2020-03-08,95.36
Wales,transit,2020-03-08,75.67
England,driving,2020-03-09,101.03
England,walking,2020-03-09,100.38
England,transit,2020-03-09,99.06
NorthernIreland,driving,2020-03-09,104.23
NorthernIreland,walking,2020-03-09,108.19
NorthernIreland,transit,2020-03-09,89.85
Scotland,driving,2020-03-09,104.66
Scotland,walking,2020-03-09,105.84
Scotland,transit,2020-03-09,101.66
Wales,driving,2020-03-09,105.14
Wales,walking,2020-03-09,98.62
Wales,transit,2020-03-09,85.64
England,driving,2020-03-10,102.22
England,walking,2020-03-10,108.1
England,transit,2020-03-10,99.59
NorthernIreland,driving,2020-03-10,106.05
NorthernIreland,walking,2020-03-10,117.6
NorthernIreland,transit,2020-03-10,99.92
Scotland,driving,2020-03-10,106.97
Scotland,walking,2020-03-10,109.46
Scotland,transit,2020-03-10,102.16
Wales,driving,2020-03-10,106.63
Wales,walking,2020-03-10,106.16
Wales,transit,2020-03-10,85.6
England,driving,2020-03-11,102.31
England,walking,2020-03-11,111.45
England,transit,2020-03-11,95.32
NorthernIreland,driving,2020-03-11,103.28
NorthernIreland,walking,2020-03-11,116.29
NorthernIreland,transit,2020-03-11,88.29
Scotland,driving,2020-03-11,105.18
Scotland,walking,2020-03-11,109.98
Scotland,transit,2020-03-11,96.95
Wales,driving,2020-03-11,105.3
Wales,walking,2020-03-11,122.3
Wales,transit,2020-03-11,87.98
England,driving,2020-03-12,95.2
England,walking,2020-03-12,102.48
England,transit,2020-03-12,86.43
NorthernIreland,driving,2020-03-12,92.92
NorthernIreland,walking,2020-03-12,104.39
NorthernIreland,transit,2020-03-12,75.64
Scotland,driving,2020-03-12,101.73
Scotland,walking,2020-03-12,104.4
Scotland,transit,2020-03-12,92.3
Wales,driving,2020-03-12,95.61
Wales,walking,2020-03-12,100.08
Wales,transit,2020-03-12,78.16
England,driving,2020-03-13,99.87
England,walking,2020-03-13,115.7
England,transit,2020-03-13,88.89
NorthernIreland,driving,2020-03-13,98.06
NorthernIreland,walking,2020-03-13,126.91
NorthernIreland,transit,2020-03-13,73.17
Scotland,driving,2020-03-13,105.04
Scotland,walking,2020-03-13,129.86
Scotland,transit,2020-03-13,90.82
Wales,driving,2020-03-13,104.01
Wales,walking,2020-03-13,128.78
Wales,transit,2020-03-13,75.06
England,driving,2020-03-14,94.06
England,walking,2020-03-14,131.83
England,transit,2020-03-14,88.9
NorthernIreland,driving,2020-03-14,92.63
NorthernIreland,walking,2020-03-14,125.49
NorthernIreland,transit,2020-03-14,62.94
Scotland,driving,2020-03-14,95.44
Scotland,walking,2020-03-14,134.56
Scotland,transit,2020-03-14,82.39
Wales,driving,2020-03-14,89.57
Wales,walking,2020-03-14,139.52
