"country","date","proportion"
"Wales","2021-02-27",82.26
"Wales","2021-02-28",81.13
"Wales","2021-03-01",80
"Wales","2021-03-02",78.56
"Wales","2021-03-03",77.11
"Wales","2021-03-04",75.67
"Wales","2021-03-05",74.23
"Wales","2021-03-06",72.79
"Wales","2021-03-07",71.34
"Wales","2021-03-08",69.9
